Tipo,Nombre,Deporte,Direccion,Telefono,Municipio,Departamento,Pagina_Web,email,Ubicación,Razon_social,Clase_ubicacion,Localidad_comuna,Descripcion,Latitud,Longitud
Escenario,CANCHA MULTIPLE DEL BARRIO LA CALLEJA,,CL 36A Y 36B CON KR 16,7442297,TUNJA,BOYACA,,recreacionydeportetunja@irdet.gov.co,OTRO,JUNTA DE ACCION COMUNAL DEL BARRIO LA CALLEJA,ZONA URBANA,SIN COMUNAS,CANCHA MULTIPLE,5.549416667,-72.63508333
Escenario,CANCHA MULTIPLE N° 1 DEL BARRIO PRADOS DEL NORTE,,CL 54 CON KR 9,3133219280,TUNJA,BOYACA,,recreacionydeportetunja@irdet.gov.co,OTRO,JUNTA DE ACCION COMUNAL DEL BARRIO PRADOS DEL NORTE,ZONA URBANA,SIN COMUNAS,CANCHA MULTIPLE,5.562194444,-72.65025
Escenario,SALONES PARA LA PRACTICA DE LAS LIGAS DE AJEDREZ ESGRIMA Y TENIS DE MESA,,CL 48 CON KR 24,8813073,MANIZALES,CALDAS,,,COMPLEJO DEPORTIVO,SECRETARIA DE DEPORTES - ALCALDIA DE MANIZALES,ZONA URBANA,COMUNA CUATRO,SALONES PARA LA PRACTICA DE AJEDREZ ESGRIMA Y TENIS DE MESA,5.064555556,-74.50005556
Escenario,CANCHA DE FUTBOL N° 2 COLEGIO SAN LUIS GONZACA,,CL 54 27-35,8860414,MANIZALES,CALDAS,,sanluis@sanluisgonzaga.edu.co,ESTABLECIMIENTO EDUCATIVO,COLEGIO SAN LUIS GONZAGA,ZONA URBANA,COMUNA OCHO,CANCHA DE FUTBOL,5.057805556,-74.50411111
Escenario,CANCHA MULTIPLE DEL BARRIO QUINTAS DE PANORAMA 1,,BARRIO QUINTAS DE PANORAMA 1 MZ7,,PEREIRA,RISARALDA,,,OTRO,SECRETARIA MUNICIPAL DE RECREACION Y DEPORTE,ZONA URBANA,COMUNA CONSOTA,CANCHA MULTIPLE,4.801,-74.27255556
Escenario,CANCHA MULTIPLE DEL BARRIO PANORAMA 1,,BARRIO PANORAMA 1 MZ 7 CS 25,3248001,PEREIRA,RISARALDA,,,OTRO,SECRETARIA MUNICIPAL DE RECREACION Y DEPORTE,ZONA URBANA,COMUNA CONSOTA,CANCHA MULTIPLE,4.801638889,-74.27066667
Escenario,CANCHA DE MINIFUTBOL DEL BARRIO TORRES DE LA ACUARELA,,CL 72C CON KR 37A,,PEREIRA,RISARALDA,,,OTRO,SECRETARIA MUNICIPAL DE RECREACION Y DEPORTE,ZONA URBANA,COMUNA EL OSO,CANCHA DE MINIFUTBOL,4.798305556,-74.26963889
Escenario,CANCHA DE MICROFUTBOL N°1 DEL POLIDEPORTIVO LA CEIBA,,AV 3E 1-22,5833939,CÚCUTA,NORTE DE SANTANDER,www.cucuta-nortedesantander.gov.co,,OTRO,POLIDEPORTIVO LA CEIBA,ZONA URBANA,COMUNA CENTRO ORIENTAL,CANCHA DE MICROFUTBOL PLACA CUBIERTA N° 1,7.89575,-71.50297222
Escenario,CANCHA DE FUTBOL ESTADIO METROPOLITANO ROBERTO MELENDEZ,,AV CIRCUNVALAR CON AV MURILLO,3624546,BARRANQUILLA,ATLANTICO,,svasquez@barranquilla.gov.co,COMPLEJO DEPORTIVO,IMRD ESTADIO METROPOLITANO ROBERTO MELENDEZ,ZONA URBANA,SIN COMUNAS,CANCHA DE FUTBOL ESTADIO,10.92638889,-73.20013889
Escenario,CANCHA MULTIPLE DE LA INSTITUCION EDUCATIVA CIUDADELA 20 DE JULIO,,CL 46 2E-11,3627100,BARRANQUILLA,ATLANTICO,,ineic20julio@hotmail.com,ESTABLECIMIENTO EDUCATIVO,INSTITUCION EDUCATIVA CIUDADELA 20 DE JULIO,ZONA URBANA,SIN COMUNAS,CANCHA MULTIPLE,10.93488889,-73.19944444
