Nombre,Tipo,Fecha_Desde ,Fecha_Hasta,País,Lugar,Territorio,Entidad,Escenario,Descripcion_del_Evento,Pagina_Web,email
Concentracion Deportiva,Concentración Nacional,08/01/2013,12/01/2013,COLOMBIA,Medellín, Antioquia,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
Campeonatos Regionales,Campeonato Nacional,22/02/2013,24/02/2013,COLOMBIA,Bogotá D.C. , Bogotá D.C.,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
1 Ronda Copa Mundo N.A,Copa Mundo,01/03/2013,03/03/2013,HUNGRIA,Eger,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
2 Ronda Copa Mundo N.A.,Copa Mundo,15/03/2013,17/03/2013,ITALIA,Lignano,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
Campeonato Nacional Interclubes por Categorias,Campeonato Nacional,21/03/2013,26/03/2013,COLOMBIA,Cali , Valle del Cauca,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
Campeonato Nacional Interclubes por Categorias,Campeonato Nacional,21/03/2013,26/03/2013,COLOMBIA,Cali , Valle del Cauca,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
II Parada nacional Inerclubes. Elite / Ascenso,Campeonato Nacional,22/03/2013,25/03/2013,COLOMBIA,Medellín, Antioquia,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
3 Ronda Copa Mundo N.A. y L.D.,Copa Mundo,04/04/2013,07/04/2013,EGIPTO,Sharm el  Sheikh,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
I campeonato nacional Interclubes con Invitación Internacional,Campeonato Nacional,05/04/2013,07/04/2013,COLOMBIA,Buenaventura , Valle del Cauca,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
4 Ronda Copa Mundo N.A. y L.D.,Copa Mundo,12/04/2013,14/04/2013,FRANCIA,Aix Provence,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
Asamblea Cmas,Evento Académico,17/04/2013,23/04/2013,FILIPINAS,Cebu,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
IX Campeonato Nacional Interclubes con Invitación Internacional,Campeonato Nacional,26/04/2013,28/04/2013,COLOMBIA,Cali , Valle del Cauca,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
Nacional Interclubes sub 21,Campeonato Nacional,11/05/2013,13/05/2013,COLOMBIA,Villavicencio , Meta,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
5 Ronda Copa Mundo N.A.,Copa Mundo,18/05/2013,19/05/2013,POLONIA,Gliwice,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
Concentracion Deportiva,Concentración Nacional,23/05/2013,26/05/2013,COLOMBIA,Cali , Valle del Cauca,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
II campeonato nacional Interclubes con Invitación Internacional,Campeonato Nacional,24/05/2013,26/05/2013,COLOMBIA,Cartagena , Bolívar,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
Festival Infantil Interclubes,Campeonato Nacional,24/05/2013,26/05/2013,COLOMBIA,Medellín, Antioquia,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
1 Ronda Copa Mundo Orientacion,Copa Mundo,24/05/2013,26/05/2013,REPÚBLICA CHECA,Jesenice,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
2 Ronda Copa Mundo Orientacion,Copa Mundo,31/05/2013,02/06/2013,ALEMANIA,Storitzsee bei Erk,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
IV Juegos Fedecas,Campeonato Nacional,14/06/2013,21/06/2013,COLOMBIA,Popayan , Cauca,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
Curso Nacional de Juzgamiento de Natación con Aletas y Rugby Subacuático,Evento Académico,18/06/2013,20/06/2013,COLOMBIA,Popayan , Cauca,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
Concentracion Deportiva,Concentración Nacional,24/06/2013,05/07/2013,COLOMBIA,Bogotá D.C. , Bogotá D.C.,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
Festival Internacional Infantil,Concentracion Internacional,11/07/2013,17/07/2013,CUBA,La Habana,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
Concentracion Deportiva,Concentración Nacional,22/07/2013,25/07/2013,COLOMBIA,Cali , Valle del Cauca,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
Campeonatos Regionales,Campeonato Nacional,26/07/2013,28/07/2013,COLOMBIA,Bogotá D.C. , Bogotá D.C.,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
World Games,Juegos Mundiales,26/07/2013,27/07/2013,COLOMBIA,Cali , Valle del Cauca,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
III Parada Nacional Interclubes. Ascenso,Campeonato Nacional,02/08/2013,04/08/2013,COLOMBIA,Pereira , Risaralda,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
Juegos Mundiales CMAS,Juegos Mundiales,03/08/2013,13/08/2013,RUSIA,Kazan,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
Festival Infantil Ligas,Campeonato Nacional,16/08/2013,19/08/2013,COLOMBIA,Girardot , Cundinamarca,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
III Parada Nacional Interclubes. Elite,Campeonato Nacional,17/08/2013,19/08/2013,COLOMBIA,Bogotá D.C. , Bogotá D.C.,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
I Juegos de Mar y Playa,Campeonato Nacional,23/08/2013,31/08/2013,COLOMBIA,San Andrés,San Andrés y Providencia,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
Campeonato Mundial Mayores - Hockey,Campeonato Mundial,23/08/2013,23/08/2013,HUNGRIA,Eger,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
Campeonato Mundial Juvenil - Hockey,Campeonato Mundial,23/08/2013,23/08/2013,HUNGRIA,Eger,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
Panamericano -Pesca Submarina,Juegos Panamericanos,10/09/2013,15/09/2013,ESTADOS UNIDOS,Miami,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
3 Ronda Copa Mundo Orientacion,Copa Mundo,12/09/2013,13/09/2013,CROACIA,Lake Lepenice,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
4 Ronda Copa Mundo Orientacion,Copa Mundo,19/09/2013,22/09/2013,AUSTRALIA,Bad Saag Woeter,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
Nacional Interclubes por Categoria,Campeonato Nacional,27/09/2013,30/09/2013,COLOMBIA,San Andrés,San Andrés y Providencia,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
Final Copa Mundo - N.A y L.D,Copa Mundo,28/09/2013,30/09/2013,SUIZA,Geneva,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
Nacional Interclubes de Velocidad y Universitario,Campeonato Nacional,11/10/2013,14/10/2013,COLOMBIA,Medellín, Antioquia,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
I Parada Nacional Interclubes. Ascenso,Campeonato Nacional,11/10/2013,14/10/2013,COLOMBIA,Cali , Valle del Cauca,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
3 Copa Internacional - N.A y L.D,Copa Mundo,12/10/2013,17/10/2013,CUBA,La Habana,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
I Parada Nacional Interclubes. Elite,Campeonato Nacional,01/11/2013,04/11/2013,COLOMBIA,Cali , Valle del Cauca,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
Nacional Interclubes,Campeonato Nacional,02/11/2013,04/11/2013,COLOMBIA,Medellín, Antioquia,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
Iberica Copa Abierta- Hockey,Copa Mundo,16/11/2013,17/11/2013,PORTUGAL,Lisboa,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
Nacional Interclubes Juvenil y Mayores,Campeonato Nacional,06/12/2013,08/12/2013,COLOMBIA,Bogotá D.C. , Bogotá D.C.,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
Campeonato Invitacional,Campeonato Nacional,06/12/2013,08/12/2013,COLOMBIA,Pereira , Risaralda,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
Curso Nacional de Entrenadores Natacion Aletas y Rugby,Evento Académico,06/12/2013,09/12/2013,COLOMBIA,Bogotá D.C. , Bogotá D.C.,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS,,,,
NACIONAL AMATEUR,Campeonato Nacional,13/03/2013,17/03/2013,COLOMBIA,San Andrés,San Andrés y Providencia,FEDERACIÓN COLOMBIANA DE AJEDREZ,,,,
Mundial Amateur,Juegos Mundiales,21/04/2013,01/05/2013,RUMANIA,Lasi,,FEDERACIÓN COLOMBIANA DE AJEDREZ,,,,
Final Nacional Sub 8 y Sub 14,Campeonato Nacional,26/04/2013,01/05/2013,COLOMBIA,Medellín, Antioquia,FEDERACIÓN COLOMBIANA DE AJEDREZ,,,,
Mundial Escolar Sub 7-17,Juegos Mundiales,06/05/2013,15/05/2013,GRECIA,Halkidiki,,FEDERACIÓN COLOMBIANA DE AJEDREZ,,,,
Continental Absoluto,Campeonato Latinoamericano,07/05/2013,15/05/2013,BOLIVIA,Cochabamba,,FEDERACIÓN COLOMBIANA DE AJEDREZ,,,,
Suramericano Sub-20,Juegos Suramericanos de la Juventud,17/05/2013,23/05/2013,PARAGUAY,Asunción,,FEDERACIÓN COLOMBIANA DE AJEDREZ,,,,
Final Nacional Sub 12 y Sub 18,Campeonato Nacional,29/05/2013,03/06/2013,COLOMBIA,Medellín, Antioquia,FEDERACIÓN COLOMBIANA DE AJEDREZ,,,,
IRT Fonducar Sub 16-Fondo de empleados Docentes Universidad Cartagena,Campeonato Nacional,30/05/2013,03/06/2013,COLOMBIA,Cartagena , Bolívar,FEDERACIÓN COLOMBIANA DE AJEDREZ,,,,
Zonal Americano absoluto 2.3,Open Internacional,31/05/2013,07/06/2013,COSTA RICA,San José,,FEDERACIÓN COLOMBIANA DE AJEDREZ,,,,
Final Nacional Sub 10 y Sub 16,Campeonato Nacional,05/06/2013,10/06/2013,COLOMBIA,Villavicencio , Meta,FEDERACIÓN COLOMBIANA DE AJEDREZ,,,,
Nacional de Mayores (Absoluto y Femenino),Campeonato Nacional,01/07/2013,07/07/2013,COLOMBIA,Ibague , Tolima,FEDERACIÓN COLOMBIANA DE AJEDREZ,,,,
Panamericano Sub 20,Campeonato Panamericano,09/07/2013,14/07/2013,COLOMBIA,Facatativá,Cundinamarca,FEDERACIÓN COLOMBIANA DE AJEDREZ,,,,
Festival Panamericano Sub 8 a Sub 18,Campeonato Panamericano,22/07/2013,29/07/2013,BRASIL,Brasil ,,FEDERACIÓN COLOMBIANA DE AJEDREZ,,,,
Torneo IRT Feria de las Flores,Campeonato Nacional,03/08/2013,07/08/2013,COLOMBIA,Medellín, Antioquia,FEDERACIÓN COLOMBIANA DE AJEDREZ,,,,
Centroamericano y del Caribe Sub 20,Campeonato Centroamericano y del Caribe,08/08/2013,20/08/2013,SALVADOR,San Salvador,,FEDERACIÓN COLOMBIANA DE AJEDREZ,,,,
Festival Mundial de Menores Sub 8 y Sub 18,Campeonato Mundial,17/12/2013,29/12/2013,EMIRATOS ÁRABES,Al Ain,,FEDERACIÓN COLOMBIANA DE AJEDREZ,,,,
CAMPEONATO MULTISITIOS DE AMERICA,Campeonato Nacional,01/01/2013,30/04/2013,COLOMBIA,Bogotá D.C. , Bogotá D.C.,FEDERACIÓN ARQUEROS DE COLOMBIA,,,,
1º RANKING NACIONAL,Campeonato Nacional,22/02/2013,24/02/2013,COLOMBIA,Cali , Valle del Cauca,FEDERACIÓN ARQUEROS DE COLOMBIA,,,,
GRAN PRIX MEXICANO,Grand Prix Internacional,04/03/2013,11/03/2013,MEXICO,Playa del Carmen,,FEDERACIÓN ARQUEROS DE COLOMBIA,,,,
2º RANKING NACIONAL CAMPO,Campeonato Nacional,08/03/2013,10/03/2013,COLOMBIA,Cali , Valle del Cauca,FEDERACIÓN ARQUEROS DE COLOMBIA,,,,
TORNEO DE CAMPO,Campeonato Suramericano,30/03/2013,02/04/2013,ARGENTINA,Claromecó,,FEDERACIÓN ARQUEROS DE COLOMBIA,,,,
Curso de Preparacion Estadísticas IANSEO,Evento Académico,19/04/2013,24/04/2013,REPÚBLICA DOMINICANA,Santo Domingo,,FEDERACIÓN ARQUEROS DE COLOMBIA,,,,
CAPACITACION MONITORES NIVEL II- Formacion de Arqueros,Evento Académico,19/04/2013,26/04/2013,COLOMBIA,Medellín, Antioquia,FEDERACIÓN ARQUEROS DE COLOMBIA,,,,
PRIMERA PARADA REGIONAL DE FORMACION DE ARQUEROS,Evento de Preparacion Deportiva,26/04/2013,30/04/2013,COLOMBIA,Cartagena , Bolívar,FEDERACIÓN ARQUEROS DE COLOMBIA,,,,
CAMPEONATO NACIONAL INTERLIGAS Y CLASIFICATORIO A W G,Campeonato Nacional,26/04/2013,28/04/2013,COLOMBIA,Cartagena , Bolívar,FEDERACIÓN ARQUEROS DE COLOMBIA,,,,
2º PARADA REGIONAL DE FORMAION DE ARQUEROS,Evento de Preparacion Deportiva,06/05/2013,31/05/2013,COLOMBIA,Leticia , Amazonas,FEDERACIÓN ARQUEROS DE COLOMBIA,,,,
1ª COPA MUNDO DE TIRO CON ARCO,Copa Mundo,13/05/2013,19/05/2013,CHINA,Shangai,,FEDERACIÓN ARQUEROS DE COLOMBIA,,,,
