Subject,Start Date,End Date,Description,Location,País,Territorio,Entidad
Concentracion Deportiva,01/08/2013,01/12/2013,Concentración Nacional,Medellín,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
Campeonatos Regionales,02/22/2013,02/24/2013,Campeonato Nacional,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
1 Ronda Copa Mundo N.A,03/01/2013,03/03/2013,Copa Mundo,Eger,HUNGRIA,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
2 Ronda Copa Mundo N.A.,03/15/2013,03/17/2013,Copa Mundo,Lignano,ITALIA,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
Campeonato Nacional Interclubes por Categorias,03/21/2013,03/26/2013,Campeonato Nacional,Cali ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
Campeonato Nacional Interclubes por Categorias,03/21/2013,03/26/2013,Campeonato Nacional,Cali ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
II Parada nacional Inerclubes. Elite / Ascenso,03/22/2013,03/25/2013,Campeonato Nacional,Medellín,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
3 Ronda Copa Mundo N.A. y L.D.,04/04/2013,04/07/2013,Copa Mundo,Sharm el  Sheikh,EGIPTO,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
I campeonato nacional Interclubes con Invitación Internacional,04/05/2013,04/07/2013,Campeonato Nacional,Buenaventura ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
4 Ronda Copa Mundo N.A. y L.D.,04/12/2013,04/14/2013,Copa Mundo,Aix Provence,FRANCIA,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
Asamblea Cmas,04/17/2013,04/23/2013,Evento Académico,Cebu,FILIPINAS,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
IX Campeonato Nacional Interclubes con Invitación Internacional,04/26/2013,04/28/2013,Campeonato Nacional,Cali ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
Nacional Interclubes sub 21,05/11/2013,05/13/2013,Campeonato Nacional,Villavicencio ,COLOMBIA, Meta,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
5 Ronda Copa Mundo N.A.,05/18/2013,05/19/2013,Copa Mundo,Gliwice,POLONIA,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
Concentracion Deportiva,05/23/2013,05/26/2013,Concentración Nacional,Cali ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
II campeonato nacional Interclubes con Invitación Internacional,05/24/2013,05/26/2013,Campeonato Nacional,Cartagena ,COLOMBIA, Bolívar,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
Festival Infantil Interclubes,05/24/2013,05/26/2013,Campeonato Nacional,Medellín,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
1 Ronda Copa Mundo Orientacion,05/24/2013,05/26/2013,Copa Mundo,Jesenice,REPÚBLICA CHECA,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
2 Ronda Copa Mundo Orientacion,05/31/2013,06/02/2013,Copa Mundo,Storitzsee bei Erk,ALEMANIA,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
IV Juegos Fedecas,06/14/2013,06/21/2013,Campeonato Nacional,Popayan ,COLOMBIA, Cauca,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
Curso Nacional de Juzgamiento de Natación con Aletas y Rugby Subacuático,06/18/2013,06/20/2013,Evento Académico,Popayan ,COLOMBIA, Cauca,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
Concentracion Deportiva,06/24/2013,07/05/2013,Concentración Nacional,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
Festival Internacional Infantil,07/11/2013,07/17/2013,Concentracion Internacional,La Habana,CUBA,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
Concentracion Deportiva,07/22/2013,07/25/2013,Concentración Nacional,Cali ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
Campeonatos Regionales,07/26/2013,07/28/2013,Campeonato Nacional,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
World Games,07/26/2013,07/27/2013,Juegos Mundiales,Cali ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
III Parada Nacional Interclubes. Ascenso,08/02/2013,08/04/2013,Campeonato Nacional,Pereira ,COLOMBIA, Risaralda,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
Juegos Mundiales CMAS,08/03/2013,08/13/2013,Juegos Mundiales,Kazan,RUSIA,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
Festival Infantil Ligas,08/16/2013,08/19/2013,Campeonato Nacional,Girardot ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
III Parada Nacional Interclubes. Elite,08/17/2013,08/19/2013,Campeonato Nacional,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
I Juegos de Mar y Playa,08/23/2013,08/31/2013,Campeonato Nacional,San Andrés,COLOMBIA,San Andrés y Providencia,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
Campeonato Mundial Mayores - Hockey,08/23/2013,08/23/2013,Campeonato Mundial,Eger,HUNGRIA,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
Campeonato Mundial Juvenil - Hockey,08/23/2013,08/23/2013,Campeonato Mundial,Eger,HUNGRIA,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
Panamericano -Pesca Submarina,09/10/2013,09/15/2013,Juegos Panamericanos,Miami,ESTADOS UNIDOS,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
3 Ronda Copa Mundo Orientacion,09/12/2013,09/13/2013,Copa Mundo,Lake Lepenice,CROACIA,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
4 Ronda Copa Mundo Orientacion,09/19/2013,09/22/2013,Copa Mundo,Bad Saag Woeter,AUSTRALIA,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
Nacional Interclubes por Categoria,09/27/2013,09/30/2013,Campeonato Nacional,San Andrés,COLOMBIA,San Andrés y Providencia,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
Final Copa Mundo - N.A y L.D,09/28/2013,09/30/2013,Copa Mundo,Geneva,SUIZA,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
Nacional Interclubes de Velocidad y Universitario,10/11/2013,10/14/2013,Campeonato Nacional,Medellín,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
I Parada Nacional Interclubes. Ascenso,10/11/2013,10/14/2013,Campeonato Nacional,Cali ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
